,2007_Port,2008_Port,2009_Port,2010_Port,2011_Port,2012_Port,2013_Port,2014_Port,2015_Port,2016_Port,2017_Port
start,2007-01-02 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-03 00:00:00,2011-01-02 00:00:00,2012-01-02 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-03 00:00:00,2017-01-02 00:00:00
end,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00
rf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_return,-0.08603325590228905,-0.03164220985221777,0.14752982748794463,0.1650212989978792,0.09180679696655147,0.18939512321758345,0.37197335734367587,0.29992407885742267,0.13959293009948603,-0.37711603227615353,0.06266473140716466
cagr,-0.08654275091028574,-0.03166353580217074,0.14807224094335614,0.1666199639427095,0.09266809642415463,0.19010376312491073,0.3734641623453965,0.30109554631694246,0.1401044180806743,-0.3797577296456772,0.06342539317265983
max_drawdown,-0.19069856697700094,-0.3625133874150863,-0.40332459045791613,-0.15981782777295395,-0.18689037716111923,-0.07480557673443755,-0.13319324164958424,-0.22040149143952747,-0.3263577739416539,-0.4198753984057676,-0.21044097017605512
calmar,-0.4538196184805267,-0.08734445927072826,0.3671292166322955,1.0425618109352546,0.49584198946885827,2.5413046917582873,2.803927269282452,1.3661229983080916,0.42929701471037157,-0.9044533951919692,0.30139279969864274
mtd,-0.0673070002709506,0.14326494879109308,0.07218829157971451,0.07211627438054813,0.06695677401480116,-0.034306657196183754,-0.011785895633785293,0.012211285702853347,0.0159646808225542,-0.04189509838842387,0.09933893550009798
three_month,-0.06696969164360012,-0.04563027828897259,0.12649522005086444,0.0918663162085136,0.14809288966177747,0.013357305476951353,0.14070807686141595,0.12096693709403716,0.2538566079298106,-0.09942535046310286,0.046512427306572235
six_month,0.004522158621535155,-0.13805860119806102,0.3795355032426151,0.17605888526049762,0.01566270960315852,0.0920555199479709,0.23722750172035556,0.32256505927000667,-0.06271413426730121,0.006784224540779871,-0.11060887161140387
ytd,-0.08603325590228905,-0.03164220985221777,0.14752982748794463,0.1650212989978792,0.09180679696655147,0.18939512321758345,0.37197335734367587,0.29992407885742267,0.13959293009948603,-0.37711603227615353,0.06266473140716466
incep,-0.08654275091028574,-0.03166353580217074,0.14807224094335614,0.1666199639427095,0.09266809642415463,0.19010376312491073,0.3734641623453965,0.30109554631694246,0.1401044180806743,-0.3797577296456772,0.06342539317265983
daily_sharpe,-0.3806283801904981,0.10882240412956616,0.581579082757237,0.887377414073388,0.4974379346527503,1.2235024759150661,1.6583772604245202,1.0557103660226208,0.5634527467310052,-1.200470881568981,0.36897130683851204
daily_sortino,-0.5957464288152698,0.1743308388903327,0.8926078834179124,1.557668843676003,0.8112055621068681,2.143432326999284,2.9739711692442214,1.94143586712782,0.9982658877428721,-1.8915608647386808,0.7107516154632049
daily_mean,-0.07227426339945885,0.04177521683647888,0.19281147729421688,0.17136685361324389,0.11408696101925864,0.18646106783115177,0.3369837782115708,0.30344900952834863,0.1830870667421265,-0.41359614765577934,0.09125772435885786
daily_vol,0.18988143596461934,0.3838843404593457,0.331530969752398,0.19311608667906835,0.22934913699113046,0.152399420108812,0.20320091589130201,0.2874358529523491,0.3249377482039911,0.3445282630389344,0.24733013832644365
daily_skew,-0.4386577541680197,-0.23824778419156775,-0.4829553671869541,-0.112370804214609,-0.17516132961580616,-0.11905660073411839,0.044232894122675954,0.22215528045556457,0.3075427296898404,-0.07142414376371913,0.7725096994933542
daily_kurt,2.083031899225927,3.974022364507184,5.9852940689569465,0.5297726907753959,1.0591340600634052,0.25447203333528634,1.6730661784262297,0.4704995867897299,2.76747720453632,3.426855476150344,2.522179398417609
best_day,0.034578153358549635,0.10541530767535945,0.09879289776558475,0.03670614075007572,0.04427927255643782,0.028608802939663613,0.043486718884077735,0.059299719438666854,0.09431979261363166,0.09724292799247491,0.07510233290622281
worst_day,-0.054193780464845465,-0.12102184941072791,-0.10362222689040135,-0.03902452198255524,-0.04783152677447089,-0.03353231253361111,-0.04737634382605105,-0.05301813037676728,-0.07613473695810513,-0.10339423437961925,-0.04301931923111246
monthly_sharpe,-0.6838636348142804,0.009825266931818746,1.4051903274678075,1.0186125148753773,0.5995059587908163,1.878453166679398,2.6253251378153464,1.370646035734574,0.6879114039047314,-1.207897595477331,0.5468235679528655
monthly_sortino,-1.220757592948416,0.01640011602879089,3.0705847385794383,1.8616698696319607,0.959337258532535,4.525694531727098,8.395560099601663,3.021067134644574,1.3516003196101263,-1.8540338151140447,1.2661412899800575
monthly_mean,-0.1199514848851723,0.0026053880538409887,0.37342075097243993,0.21942300823014432,0.09572761003684513,0.17878528590321785,0.43547118726590095,0.26710835799148325,0.2175052700654726,-0.365106209652474,0.12745433188232205
monthly_vol,0.17540263698587802,0.26517224131626793,0.26574389509594376,0.21541361904137776,0.15967749549966867,0.09517686630391872,0.16587324022969455,0.19487770804978916,0.3161820967509281,0.30226586344696965,0.2330812703619757
monthly_skew,0.4904781741203853,0.13245217062758272,-0.3680357171509744,-0.5709452327924605,-0.9252571267977221,-0.29338550803562297,-0.19444100152220808,-0.2923702986892452,-0.10370575385177455,0.3425098608484832,0.542401884191983
monthly_kurt,-0.9903117203097205,0.04276910347636864,-0.7334255280476816,0.9534112290355177,1.506685449227624,-0.07036401694111927,-0.7379719051354514,-0.6739065393462322,-0.5702979770958807,-0.9323585521153448,-0.7269180251125529
best_month,0.07548206777743438,0.14326494879109308,0.13532463268494777,0.10993730489748588,0.06695677401480116,0.06101414930021831,0.10878877980140023,0.10062187118226706,0.16378383482433412,0.12317123864401269,0.13031691131452616
worst_month,-0.0673070002709506,-0.11974140113768461,-0.1035516966517337,-0.11386235788942523,-0.09541937893071561,-0.034306657196183754,-0.049435161837515396,-0.07891727448461627,-0.1359179077906516,-0.14358811022324747,-0.07246173206982176
avg_drawdown,-0.06493746733839094,-0.06477824644527876,-0.06339273920940508,-0.033215960994334666,-0.029538213558326115,-0.025260201116664664,-0.024430943586144796,-0.04343738704065209,-0.07145881891646082,-0.21408347225700675,-0.06301124117967091
avg_drawdown_days,114.66666666666667,28.0,32.6,27.666666666666668,27.5,21.466666666666665,14.047619047619047,20.375,32.9,179.5,37.44444444444444
avg_up_month,0.0464281439812656,0.04384256391699437,0.07784848022095951,0.05170787340765199,0.033379015475956626,0.028154478818970208,0.05115588657018999,0.055578611670466085,0.0742704055983909,0.06397737963808514,0.05719660245993374
avg_down_month,-0.04223830053378148,-0.07612741875906825,-0.05065925162216167,-0.04020433907731624,-0.03647569978281376,-0.02044977282460399,-0.030610528735650344,-0.03605023838360075,-0.0801282520738466,-0.08437003010482501,-0.04526929544016145
